ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,AGE_GROUP,TOTAL_BILL,AVG_BILL,TOTAL_PAYMENT,AVG_PAYMENT,CREDIT_UTILIZATION,PAYMENT_RATIO,AVG_DELAY,MAX_DELAY,NUM_DELAY_MONTHS,RECENT_DELAY_FLAG,BILL_GROWTH,PAYMENT_STD
1,20000,2,2,1,24,2,2,-1,-1,-2,-2,3913,3102,689,0,0,0,0,689,0,0,0,0,1,1,7704,1284.0,689,114.83333333333333,0.38518074096295185,0.08942245295262817,-0.3333333333333333,2,2,1,3913,281.2830721296016
2,120000,2,2,2,26,-1,2,0,0,0,2,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,1,1,17077,2846.1666666666665,5000,833.3333333333334,0.142307147440438,0.29277432954678534,0.5,2,2,0,-579,752.772652709081
3,90000,2,2,2,34,0,0,0,0,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,0,2,101653,16942.166666666668,11018,1836.3333333333333,1.1294652281641315,0.10838727448009916,0.0,0,0,0,13690,1569.8154880961863
4,50000,2,2,1,37,0,0,0,0,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,0,2,231334,38555.666666666664,8388,1398.0,4.626587468250635,0.03625910476149307,0.0,0,0,0,17443,478.05815545809907
5,50000,1,2,1,57,-1,0,-1,0,0,0,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,0,4,109339,18223.166666666668,59049,9841.5,2.1867362652746944,0.5400493872324859,-0.3333333333333333,0,0,0,-10514,13786.23073577401
6,50000,1,1,2,37,0,0,0,0,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,0,2,238114,39685.666666666664,7772,1295.3333333333333,4.762184756304874,0.03263969090565483,0.0,0,0,0,44376,713.9388395840828
7,500000,1,1,2,29,0,0,0,0,0,0,367965,412023,445007,542653,483003,473944,55000,40000,38000,20239,13750,13770,0,1,2724595,454099.1666666667,180759,30126.5,5.449179101641796,0.0663434138492459,0.0,0,0,0,-105979,16802.717086828547
8,100000,2,2,2,23,0,-1,-1,0,0,-1,11876,380,601,221,-159,567,380,601,0,581,1687,1542,0,1,13486,2247.6666666666665,4791,798.5,0.13485865141348585,0.3552309631496997,-0.5,0,0,0,11309,669.5194545343697
9,140000,2,3,1,28,0,0,2,0,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,0,1,65212,10868.666666666666,6761,1126.8333333333333,0.465796672880908,0.10367564749359791,0.3333333333333333,2,1,0,7566,1153.2861599215812
10,20000,1,3,2,35,-2,-2,-2,-2,-1,-1,0,0,0,0,13007,13912,0,0,0,13007,1122,0,0,2,26919,4486.5,14129,2354.8333333333335,1.3458827058647067,0.524851411589896,-1.6666666666666667,-1,0,0,-13912,5237.73792458793
11,200000,2,3,2,34,0,0,2,0,0,-1,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,0,2,34467,5744.5,6472,1078.6666666666667,0.17233413832930836,0.18776836486016016,0.16666666666666666,2,1,0,7342,1575.1920094600107
12,260000,2,1,2,51,-1,-1,-1,-1,-1,2,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,0,4,88369,14728.166666666666,66308,11051.333333333334,0.3398794620020692,0.75034513975331,-0.5,2,1,0,-1407,9239.118565462111
13,630000,2,2,2,41,-1,0,-1,-1,-1,-1,12137,6500,6500,6500,6500,2870,1000,6500,6500,6500,2870,0,0,3,41007,6834.5,23370,3895.0,0.06509037287242402,0.5698888021849395,-0.8333333333333334,0,0,0,9267,2998.691381252829
14,70000,1,2,2,30,1,2,2,0,0,2,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,1,1,338685,56447.5,10700,1783.3333333333333,4.838288024456793,0.031592684669575946,1.1666666666666667,2,4,1,28908,1510.5186747162932
15,250000,1,1,2,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,1,373591,62265.166666666664,18000,3000.0,1.4943580225679098,0.048180903231332575,0.0,0,0,0,15375,0.0
16,50000,2,3,3,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,1,196416,32736.0,6200,1033.3333333333333,3.9282414351712966,0.03156549585830147,0.5,2,2,1,20403,527.8888771954441
17,20000,1,1,2,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,1,106161,17693.5,6350,1058.3333333333333,5.3077846107694615,0.059814246152107155,1.3333333333333333,2,4,0,-3728,1303.2331589806436
18,320000,1,1,1,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,3,966014,161002.33333333334,361897,60316.166666666664,3.0187843162990116,0.37462875835261356,-0.5,0,0,0,57687,71140.56620077371
19,360000,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0,0.0,0.0,0.0,-1.5,1,1,1,0,0.0
20,180000,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0.0,0.0,0.0,-1.5,1,1,1,0,0.0
21,130000,2,3,2,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,2,123883,20647.166666666668,42231,7038.5,0.9529388235475111,0.34089147912563367,-0.16666666666666666,0,0,0,37428,13114.816594218923
22,120000,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,2,1896,316.0,1580,263.3333333333333,0.015799868334430547,0.8328940432261466,-1.0,-1,0,0,0,237.87615825606963
23,70000,2,2,2,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,1,265475,44245.833333333336,11010,1835.0,3.79244582220254,0.041472675496090045,1.3333333333333333,2,4,1,-4925,1608.4168613888628
24,450000,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,2,26965,4494.166666666667,22589,3764.8333333333335,0.05992208906202431,0.8376844915819921,-2.0,-2,0,0,5512,7696.220849655152
25,90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,1,31864,5310.666666666667,16400,2733.3333333333335,0.3540405106609927,0.5146712694178566,-0.16666666666666666,0,0,0,-3548,2327.0930936829036
26,50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,1,214295,35715.833333333336,7891,1315.1666666666667,4.285814283714326,0.036822899167506626,0.0,0,0,0,17574,380.18491115070134
27,60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,1,-394,-65.66666666666667,2500,416.6666666666667,-0.006566557224046266,6.329113924050633,-0.8333333333333334,1,1,1,80,491.59604012508754
28,50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,1,112268,18711.333333333332,7112,1185.3333333333333,2.245315093698126,0.06334785203395417,0.0,0,0,0,2924,211.6853010170207
29,50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,3,40208,6701.333333333333,39567,6594.5,0.8041439171216576,0.984033425352533,-1.0,-1,0,0,393,11770.04477051808
30,50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,1,97082,16180.333333333334,6600,1100.0,1.9416011679766405,0.06798306603627824,0.0,0,0,0,3929,600.0
31,230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,1,113746,18957.666666666668,97489,16248.166666666666,0.4945456758883657,0.85706875785735,-1.0,-1,0,0,-20277,12010.734988611925
32,50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,2,151869,25311.5,6934,1155.6666666666667,3.037319253614928,0.045657470204780407,0.3333333333333333,2,1,1,6838,374.376103225976
33,100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,2,495237,82539.5,18744,3124.0,4.952320476795232,0.03784846881701323,0.0,0,0,0,17447,342.9956267942785
34,500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,4,125744,20957.333333333332,158502,26417.0,0.25148749702500595,1.260503399737564,-2.0,-2,0,0,1948,28889.184640622865
35,500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,4,58318,9719.666666666666,45425,7570.833333333333,0.11663576672846654,0.778905673965603,-2.0,-2,0,0,8416,11763.848765037177
36,160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,1,25312,4218.666666666667,2280,380.0,0.15819901125617966,0.09007229486824951,-1.5,-1,0,0,32149,286.66426355581893
37,280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,2,1069977,178329.5,41923,6987.166666666667,3.8213327809543536,0.03918117942611904,0.0,0,0,0,9090,831.1987528062507
38,60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,1,32279,5379.833333333333,53349,8891.5,0.5379743670938818,1.6526951672862453,-0.16666666666666666,0,0,0,-3606,19011.998682411064
39,50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,1,780,130.0,780,130.0,0.015599688006239875,0.998719590268886,-1.1666666666666667,1,1,1,0,318.43366656181314
40,280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,2,51643,8607.166666666666,37357,6226.166666666667,0.18443862700490354,0.7233560529780807,-0.3333333333333333,2,1,0,-8979,4574.295111453422
41,360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,2,1650751,275125.1666666667,243840,40640.0,4.585406707203591,0.1477144961811344,0.0,0,0,0,39444,73124.3981171811
42,70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,1,392856,65476.0,19342,3223.6666666666665,5.612148397880031,0.04923419972152717,0.0,0,0,0,1551,845.6480749500154
43,10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,1,22761,3793.5,7227,1204.5,2.275872412758724,0.3175028556365873,0.0,0,0,0,-2574,943.653273188834
44,140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,2,385134,64189.0,20000,3333.3333333333335,2.7509374933036193,0.051929842782400974,0.0,0,0,0,-10298,516.3977794943223
45,40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,1,147185,24530.833333333332,13000,2166.6666666666665,3.679533011674708,0.08832361773538244,0.3333333333333333,2,1,0,-10270,1940.7902170679517
46,210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0.0,0.0,0.0,-2.0,-2,0,0,0,0.0
47,20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,79328,13221.333333333334,20075,3345.8333333333335,3.966201689915504,0.25306004109468166,0.16666666666666666,2,1,0,14028,6666.408820846999
48,150000,2,4,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,3,9837,1639.5,2183,363.8333333333333,0.06557956280291465,0.2218946940435048,-0.5,0,0,0,4463,565.8305105476963
49,380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,2,114815,19135.833333333332,93332,15555.333333333334,0.30214394172646913,0.8128832218506131,-1.0,-1,0,0,10528,6321.636328251307
50,20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,1,115810,19301.666666666668,6246,1041.0,5.790210489475526,0.0539327006933711,0.0,0,0,0,-2616,243.132885476235
51,70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,3,229012,38168.666666666664,8100,1350.0,3.271553263524807,0.03536917118242196,1.5,2,5,1,-2320,1197.914855071094
52,100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,3,265185,44197.5,9606,1601.0,2.6518234817651822,0.036223631715098084,0.0,0,0,0,28301,374.17375642874794
53,310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,3,44125,7354.166666666667,30668,5111.333333333333,0.1423382505217725,0.6950097448216471,-2.0,-2,0,0,13001,4492.231323815223
54,180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,1,259151,43191.833333333336,10246,1707.6666666666667,1.4397197793345593,0.03953664258813361,0.5,2,2,1,-3917,235.6350285222184
55,150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,1,176751,29458.5,12867,2144.5,1.1783321444523702,0.07279691318910111,0.3333333333333333,2,1,1,29684,1433.0836332887206
56,500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,3,8388,1398.0,6483,1080.5,0.016775966448067104,0.7727977112885922,-2.0,-2,0,0,-625,1593.4028680782524
57,180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,2,55404,9234.0,29179,4863.166666666667,0.30779829000949993,0.5266492193845321,-0.5,0,0,0,8065,3855.092757206585
58,180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,2,952362,158727.0,34062,5677.0,5.290870606274409,0.035765774184843384,0.0,0,0,0,45968,1649.1811301370144
59,200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,2,6747,1124.5,1900,316.6666666666667,0.03373483132584337,0.2815649081209247,1.6666666666666667,3,5,0,173,515.4286242213045
