iter	Passed	Remaining
0	153	76571
1	161	40142
2	168	27971
3	176	21931
4	185	18317
5	194	16049
6	201	14225
7	209	12899
8	215	11777
9	221	10874
10	229	10195
11	235	9594
12	242	9095
13	248	8642
14	256	8301
15	264	8008
16	272	7742
17	279	7479
18	285	7236
19	293	7051
20	301	6869
21	308	6696
22	314	6524
23	321	6377
24	329	6253
25	335	6118
26	342	5997
27	348	5881
28	356	5790
29	363	5688
30	370	5609
31	378	5536
32	385	5455
33	393	5390
34	401	5339
35	409	5281
36	418	5237
37	427	5199
38	436	5157
39	444	5111
40	453	5076
41	463	5058
42	475	5049
43	489	5068
44	498	5040
45	514	5078
46	524	5055
47	540	5089
48	555	5113
49	566	5101
50	578	5091
51	590	5083
52	602	5081
53	616	5089
54	626	5068
55	636	5046
56	646	5026
57	657	5007
58	670	5008
59	678	4972
60	686	4939
61	695	4911
62	703	4880
63	714	4864
64	722	4833
65	734	4827
66	742	4796
67	751	4774
68	760	4748
69	769	4724
70	779	4712
71	789	4695
72	799	4678
73	808	4652
74	817	4630
75	825	4608
76	834	4586
77	845	4575
78	854	4552
79	866	4551
80	878	4544
81	887	4521
82	897	4507
83	906	4488
84	917	4478
85	929	4476
86	939	4461
87	948	4442
88	959	4432
89	968	4412
90	978	4395
91	985	4370
92	994	4352
93	1004	4339
94	1013	4320
95	1024	4311
96	1033	4294
97	1044	4283
98	1053	4269
99	1064	4257
100	1077	4255
101	1094	4269
102	1108	4274
103	1121	4269
104	1131	4255
105	1141	4241
106	1152	4234
107	1162	4220
108	1186	4255
109	1194	4234
110	1204	4219
111	1211	4196
112	1220	4181
113	1228	4158
114	1237	4142
115	1245	4124
116	1259	4123
117	1270	4111
118	1277	4089
119	1286	4073
120	1293	4050
121	1302	4036
122	1310	4015
123	1319	4001
124	1327	3981
125	1336	3966
126	1344	3949
127	1353	3934
128	1361	3915
129	1369	3898
130	1376	3877
131	1384	3860
132	1390	3838
133	1399	3823
134	1407	3804
135	1416	3792
136	1423	3771
137	1432	3757
138	1439	3738
139	1448	3724
140	1454	3704
141	1462	3687
142	1470	3671
143	1478	3655
144	1484	3635
145	1491	3616
146	1501	3604
147	1508	3588
148	1516	3572
149	1522	3553
150	1532	3540
151	1538	3522
152	1547	3509
153	1554	3491
154	1564	3481
155	1571	3464
156	1581	3455
157	1588	3437
158	1597	3426
159	1604	3409
160	1614	3398
161	1620	3381
162	1630	3370
163	1637	3355
164	1646	3343
165	1653	3327
166	1663	3316
167	1670	3300
168	1680	3291
169	1687	3275
170	1696	3263
171	1703	3248
172	1712	3236
173	1718	3220
174	1727	3208
175	1734	3193
176	1744	3182
177	1752	3171
178	1762	3159
179	1769	3146
180	1779	3135
181	1789	3127
182	1799	3117
183	1811	3111
184	1824	3106
185	1836	3099
186	1849	3095
187	1860	3087
188	1874	3083
189	1886	3078
190	1895	3066
191	1907	3059
192	1916	3048
193	1926	3039
194	1936	3029
195	1944	3016
196	1958	3012
197	1970	3006
198	1980	2995
199	1990	2986
200	2002	2978
201	2012	2968
202	2023	2960
203	2032	2949
204	2043	2940
205	2055	2934
206	2064	2921
207	2073	2910
208	2086	2904
209	2094	2893
210	2104	2882
211	2112	2869
212	2121	2858
213	2128	2845
214	2136	2832
215	2145	2820
216	2153	2809
217	2161	2795
218	2168	2782
219	2175	2768
220	2184	2757
221	2191	2744
222	2199	2732
223	2206	2719
224	2215	2707
225	2222	2694
226	2230	2683
227	2237	2669
228	2245	2657
229	2252	2644
230	2259	2631
231	2267	2618
232	2273	2605
233	2283	2595
234	2292	2584
235	2300	2573
236	2313	2566
237	2321	2555
238	2331	2545
239	2338	2533
240	2348	2524
241	2359	2515
242	2367	2503
243	2378	2495
244	2387	2484
245	2398	2476
246	2407	2465
247	2414	2453
248	2424	2444
249	2433	2433
250	2443	2424
251	2451	2412
252	2461	2402
253	2469	2391
254	2478	2380
255	2485	2369
256	2495	2359
257	2506	2350
258	2515	2340
259	2523	2329
260	2533	2320
261	2540	2308
262	2550	2298
263	2557	2285
264	2565	2275
265	2572	2262
266	2582	2253
267	2589	2241
268	2598	2231
269	2605	2219
270	2614	2208
271	2620	2196
272	2628	2185
273	2635	2173
274	2642	2162
275	2650	2150
276	2657	2139
277	2665	2128
278	2672	2117
279	2680	2106
280	2687	2094
281	2696	2084
282	2703	2073
283	2712	2063
284	2719	2051
285	2727	2041
286	2735	2029
287	2742	2019
288	2750	2008
289	2757	1997
290	2765	1985
291	2771	1974
292	2779	1963
293	2786	1952
294	2796	1943
295	2803	1932
296	2812	1922
297	2820	1911
298	2828	1901
299	2835	1890
300	2844	1880
301	2852	1870
302	2861	1860
303	2867	1848
304	2876	1838
305	2882	1827
306	2892	1818
307	2899	1807
308	2908	1797
309	2914	1786
310	2923	1776
311	2931	1766
312	2940	1756
313	2946	1745
314	2955	1735
315	2962	1724
316	2969	1714
317	2977	1703
318	2983	1692
319	2991	1682
320	2997	1671
321	3007	1662
322	3014	1651
323	3023	1642
324	3030	1631
325	3039	1622
326	3045	1611
327	3054	1601
328	3061	1590
329	3069	1581
330	3076	1570
331	3087	1562
332	3094	1551
333	3102	1542
334	3110	1531
335	3119	1522
336	3126	1512
337	3134	1502
338	3141	1492
339	3148	1481
340	3155	1471
341	3162	1460
342	3170	1451
343	3177	1440
344	3186	1431
345	3192	1421
346	3201	1411
347	3210	1402
348	3220	1393
349	3228	1383
350	3237	1374
351	3247	1365
352	3255	1355
353	3263	1345
354	3270	1335
355	3281	1327
356	3289	1317
357	3299	1308
358	3307	1298
359	3319	1291
360	3330	1282
361	3337	1272
362	3350	1264
363	3359	1255
364	3367	1245
365	3375	1235
366	3384	1226
367	3394	1217
368	3403	1208
369	3412	1198
370	3420	1189
371	3430	1180
372	3438	1170
373	3446	1161
374	3453	1151
375	3461	1141
376	3468	1131
377	3476	1122
378	3483	1112
379	3490	1102
380	3498	1092
381	3505	1082
382	3514	1073
383	3521	1063
384	3529	1054
385	3536	1044
386	3545	1035
387	3551	1025
388	3561	1016
389	3568	1006
390	3576	997
391	3586	988
392	3594	978
393	3601	968
394	3609	959
395	3616	949
396	3625	940
397	3633	931
398	3641	921
399	3648	912
400	3657	902
401	3664	893
402	3673	884
403	3680	874
404	3690	865
405	3697	855
406	3706	846
407	3712	837
408	3719	827
409	3728	818
410	3735	808
411	3742	799
412	3748	789
413	3757	780
414	3763	770
415	3773	761
416	3780	752
417	3789	743
418	3796	733
419	3805	724
420	3813	715
421	3822	706
422	3830	697
423	3838	688
424	3846	678
425	3854	669
426	3862	660
427	3869	650
428	3876	641
429	3884	632
430	3892	623
431	3900	614
432	3907	604
433	3916	595
434	3924	586
435	3933	577
436	3941	568
437	3949	559
438	3957	549
439	3966	540
440	3973	531
441	3982	522
442	3990	513
443	3998	504
444	4005	495
445	4014	486
446	4021	476
447	4031	467
448	4038	458
449	4046	449
450	4053	440
451	4061	431
452	4069	422
453	4077	413
454	4087	404
455	4095	395
456	4102	386
457	4111	377
458	4120	368
459	4128	358
460	4135	349
461	4144	340
462	4152	331
463	4160	322
464	4168	313
465	4176	304
466	4183	295
467	4192	286
468	4200	277
469	4209	268
470	4216	259
471	4225	250
472	4232	241
473	4242	232
474	4249	223
475	4258	214
476	4265	205
477	4273	196
478	4280	187
479	4290	178
480	4298	169
481	4305	160
482	4312	151
483	4320	142
484	4327	133
485	4337	124
486	4344	115
487	4353	107
488	4359	98
489	4368	89
490	4375	80
491	4384	71
492	4391	62
493	4400	53
494	4407	44
495	4418	35
496	4425	26
497	4434	17
498	4441	8
499	4450	0
